Nitrogen,Phosphorus,Potassium,pH,Humidity,Temperature,Soil Type,Period of Month,Crop
34.25,39.81,63.01,6.55,80.51,21.57,Clayey,Rabi,Wheat
75.97,14.79,69.34,5.56,84.54,34.74,Silty,Kharif,Rice
86.35,30.17,50.69,5.91,78.99,18.86,Loamy,Zaid,Tomato
66.36,13.76,37.95,5.76,87.78,25.63,Clayey,Rabi,Wheat
39.12,49.44,32.79,6.54,60.05,24.24,Silty,Kharif,Maize
84.23,41.83,74.11,5.82,67.61,18.95,Clayey,Kharif,Maize
63.27,49.1,37.18,5.73,78.78,24.2,Silty,Kharif,Brinjal
23.97,28.06,49.09,6.7,53.97,29.39,Clayey,Kharif,Maize
92.83,56.33,68.58,7.06,68.65,15.08,Sandy,Kharif,Maize
68.0,47.19,26.89,5.62,74.52,17.82,Silty,Kharif,Brinjal
22.97,11.37,48.37,6.12,82.47,23.63,Clayey,Rabi,Wheat
82.69,41.26,50.45,6.83,74.75,17.26,Clayey,Rabi,Onion
66.3,53.31,29.49,7.41,81.29,25.58,Silty,Kharif,Brinjal
86.02,30.77,77.6,6.68,61.76,15.64,Silty,Zaid,Tomato
36.88,25.15,36.84,7.36,78.35,33.85,Silty,Zaid,Tomato
31.19,55.87,76.94,5.79,71.98,17.04,Clayey,Kharif,Maize
29.33,15.97,54.98,6.64,72.8,19.93,Clayey,Kharif,Brinjal
61.54,15.45,42.08,7.06,81.05,32.34,Sandy,Rabi,Wheat
25.13,16.42,49.25,6.79,82.62,24.74,Loamy,Kharif,Brinjal
61.74,52.77,59.25,7.4,70.62,31.61,Loamy,Rabi,Onion
69.67,36.29,77.07,5.73,65.41,27.69,Clayey,Rabi,Onion
24.68,36.34,44.53,6.4,65.49,22.57,Sandy,Kharif,Maize
89.82,35.71,20.48,6.94,79.2,28.2,Loamy,Rabi,Wheat
30.78,40.45,50.03,6.99,72.24,17.2,Clayey,Kharif,Brinjal
73.1,28.42,55.01,6.85,79.32,21.92,Silty,Kharif,Brinjal
26.72,46.97,48.17,5.68,78.17,26.74,Loamy,Rabi,Onion
56.07,24.42,27.48,7.48,67.89,20.5,Silty,Kharif,Maize
65.74,17.52,79.52,6.42,80.67,28.48,Clayey,Rabi,Onion
91.89,15.92,65.42,5.88,84.27,24.34,Loamy,Zaid,Tomato
89.95,33.16,54.84,6.13,65.0,23.8,Sandy,Zaid,Tomato
71.67,21.59,79.03,7.3,71.65,18.18,Loamy,Kharif,Maize
36.53,21.17,51.23,7.16,66.04,33.1,Silty,Rabi,Wheat
64.9,20.07,23.34,7.37,74.95,25.48,Clayey,Kharif,Maize
77.02,22.06,23.84,5.65,85.91,16.47,Sandy,Kharif,Brinjal
48.43,20.68,41.12,7.46,67.21,22.92,Sandy,Rabi,Onion
83.35,57.63,59.86,5.96,80.3,24.13,Sandy,Zaid,Tomato
62.77,50.27,54.89,6.49,81.18,24.26,Clayey,Zaid,Tomato
28.88,43.05,24.39,6.58,62.18,23.47,Clayey,Kharif,Brinjal
57.74,40.15,42.1,7.05,78.92,34.26,Silty,Kharif,Maize
74.28,52.87,50.78,6.8,84.59,24.46,Sandy,Kharif,Brinjal
77.03,10.59,20.3,5.64,56.73,21.71,Loamy,Kharif,Rice
62.61,51.06,27.77,6.74,80.86,25.96,Clayey,Kharif,Brinjal
99.9,27.62,53.49,7.31,80.53,32.77,Loamy,Rabi,Onion
20.32,24.26,50.9,7.21,83.15,31.44,Sandy,Zaid,Tomato
97.25,44.32,67.69,6.14,78.33,18.96,Loamy,Kharif,Rice
82.16,41.7,70.11,6.87,50.2,33.16,Loamy,Rabi,Wheat
39.18,15.97,72.0,6.1,81.31,33.17,Silty,Kharif,Rice
22.58,50.87,51.44,6.5,75.54,17.5,Clayey,Rabi,Wheat
40.11,47.24,70.94,6.66,79.79,24.55,Clayey,Kharif,Brinjal
74.21,18.39,29.09,6.88,66.08,19.36,Loamy,Kharif,Maize
77.13,13.75,72.59,5.61,54.6,27.18,Silty,Kharif,Brinjal
58.63,34.4,49.13,6.5,60.21,28.55,Sandy,Rabi,Wheat
81.94,11.68,51.61,5.92,53.0,15.09,Loamy,Rabi,Wheat
39.12,56.96,73.52,6.11,53.69,19.65,Loamy,Zaid,Tomato
20.22,11.69,64.19,6.94,71.4,22.03,Silty,Rabi,Onion
57.34,57.45,27.51,7.42,57.0,34.17,Clayey,Rabi,Onion
85.59,35.79,60.03,6.65,86.78,28.7,Sandy,Kharif,Rice
95.44,36.88,23.31,5.68,62.89,27.27,Sandy,Rabi,Onion
24.95,10.96,36.47,5.54,65.72,21.32,Sandy,Kharif,Brinjal
85.76,58.49,40.22,7.49,83.52,20.04,Sandy,Rabi,Onion
37.63,31.02,38.52,6.49,67.41,34.02,Loamy,Kharif,Brinjal
71.78,17.34,68.67,6.7,62.87,22.69,Clayey,Rabi,Onion
50.48,15.06,70.82,7.4,89.56,25.75,Silty,Kharif,Maize
66.9,54.37,74.8,6.77,51.81,22.39,Silty,Rabi,Onion
